n,porcentaje,f_t,d
32,32.6038,1.5,2
33,44.8687,1.5,2
34,45.2268,1.5,2
36,110.733,1.5,2
37,72.2417,1.5,2
38,49.8724,1.5,2
39,43.9269,1.5,2
44,68.6158,1.5,2
45,67.3566,1.5,2
46,69.2485,1.5,2
48,53.2654,1.5,2
53,75.0611,1.5,2
54,55.7207,1.5,2
55,55.6684,1.5,2
60,59.1152,1.5,2
61,55.8674,1.5,2
62,80.6208,1.5,2
63,89.9619,1.5,2
64,66.4522,1.5,2
65,42.0008,1.5,2
69,79.0885,1.5,2
80,99.7573,1.5,2

