instancia,n,tiempo
0,3,0.0193433
1,53,0.213737
2,103,0.405784
3,153,0.586346
4,203,1.02608
5,253,0.979082
6,303,1.50812
7,353,1.74738
8,403,2.08597
9,453,2.31175
10,503,2.13477
11,553,2.50447
12,603,2.70442
13,653,2.50229
14,703,3.40495
15,753,3.66441
16,803,3.43517
17,853,3.41359
18,903,3.56168
19,953,4.86189
20,1003,5.43002

