n,porcentaje,ejeInicial
32,20.178,0
33,24.723,0
34,14.7422,0
36,18.5842,0
37,32.3933,0
38,25.8401,0
39,51.0767,0
44,23.0893,0
45,23.8453,0
46,24.1935,0
48,12.6187,0
53,19.7233,0
54,23.7264,0
55,25.0116,0
60,15.2638,0
61,17.4199,0
62,39.3788,0
63,17.04,0
64,34.8688,0
65,12.4936,0
69,17.9183,0
80,19.3216,0
