n,porcentaje
3,12.4569
53,26.5108
103,27.2405
153,27.3156
203,27.1717
253,27.1839
303,27.3139
353,27.2547
403,27.2261
453,27.3427
503,27.2597
553,27.2953
603,27.4055
653,27.2254
703,27.2849
753,27.2825
803,27.3369
853,27.2327
903,27.3442
953,27.2853
1003,27.332
