i,costoTotal
0,40588.7
0.5,37274.5
1,33638.5
1.5,33353.2
2,33934.2
2.5,34096
3,34115.4
3.5,34119.7
4,34118.4
4.5,34116.2
5,34116.8
5.5,34117.3
6,34116.9
6.5,34116.7
7,34116.7
