i,costoTotal
0,40588.7
0.5,36815.2
1,33107.3
1.5,33479.9
2,33860.6
2.5,34024.6
3,34088.4
3.5,34116
4,34128.1
4.5,34127.8
5,34128.3
5.5,34125.9
6,34124.6
6.5,34124
7,34124.8
