i,costoTotal
0,40588.7
0.5,37339.9
1,33708.5
1.5,33335.4
2,33936.7
2.5,34096.8
3,34118.1
3.5,34117.2
4,34117
4.5,34117.6
5,34116.7
5.5,34116.7
6,34116.7
6.5,34116.8
7,34116.5
